Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
09/06/2020,09/07/2020,Bowery Bay,BB,,,Concentration below Method Limit of Detection,894311,RT-qPCR - N1
09/06/2020,09/07/2020,Coney Island,CI,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",647635,RT-qPCR - N1
09/06/2020,09/07/2020,Hunts Point,HP,,,Possible analytical issue,781885,RT-qPCR - N1
09/06/2020,09/07/2020,Jamaica Bay,JA,437.00,159000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),735054,RT-qPCR - N1
09/06/2020,09/07/2020,Newtown Creek,NC,365.00,194000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1227810,RT-qPCR - N1
09/06/2020,09/07/2020,North River,NR,282.00,137000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),649549,RT-qPCR - N1
09/06/2020,09/07/2020,Oakwood Beach,OB,,,Concentration below Method Limit of Detection,243910,RT-qPCR - N1
09/06/2020,09/07/2020,Owls Head,OH,227.00,81400.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),923524,RT-qPCR - N1
09/06/2020,09/07/2020,Port Richmond,PR,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",224516,RT-qPCR - N1
09/06/2020,09/07/2020,Red Hook,RH,410.00,146000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,257556,RT-qPCR - N1
09/06/2020,09/07/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,117991,RT-qPCR - N1
09/06/2020,09/07/2020,Tallman Island,TI,,,"Concentration below Method Limit of Detection - No signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well",457817,RT-qPCR - N1
09/06/2020,09/07/2020,Wards Island,WI,,,Analytical issue,1173448,RT-qPCR - N1
09/08/2020,09/09/2020,26th Ward,26W,499.00,292000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
09/08/2020,09/09/2020,Bowery Bay,BB,951.00,323000.00,,894311,RT-qPCR - N1
09/08/2020,09/09/2020,Coney Island,CI,43278.00,18200000.00,,647635,RT-qPCR - N1
09/08/2020,09/09/2020,Hunts Point,HP,1582.00,958000.00,,781885,RT-qPCR - N1
09/08/2020,09/09/2020,Jamaica Bay,JA,1224.00,446000.00,,735054,RT-qPCR - N1
09/08/2020,09/09/2020,Newtown Creek,NC,307.00,178000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1227810,RT-qPCR - N1
09/08/2020,09/09/2020,North River,NR,415.00,227000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),649549,RT-qPCR - N1
09/08/2020,09/09/2020,Oakwood Beach,OB,539.00,193000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,243910,RT-qPCR - N1
09/08/2020,09/09/2020,Owls Head,OH,862.00,318000.00,,923524,RT-qPCR - N1
09/08/2020,09/09/2020,Port Richmond,PR,1059.00,386000.00,,224516,RT-qPCR - N1
09/08/2020,09/09/2020,Red Hook,RH,478.00,186000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),257556,RT-qPCR - N1
09/08/2020,09/09/2020,Rockaway,RK,270.00,161000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
09/08/2020,09/09/2020,Tallman Island,TI,750.00,309000.00,,457817,RT-qPCR - N1
09/08/2020,09/09/2020,Wards Island,WI,1065.00,624000.00,,1173448,RT-qPCR - N1
09/13/2020,09/14/2020,26th Ward,26W,,,Possible analytical issue,318262,RT-qPCR - N1
09/13/2020,09/14/2020,Bowery Bay,BB,1278.00,471000.00,,894311,RT-qPCR - N1
09/13/2020,09/14/2020,Coney Island,CI,16954.00,8180000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,647635,RT-qPCR - N1
09/13/2020,09/14/2020,Hunts Point,HP,492.00,298000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),781885,RT-qPCR - N1
09/13/2020,09/14/2020,Jamaica Bay,JA,470.00,178000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),735054,RT-qPCR - N1
09/13/2020,09/14/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1227810,RT-qPCR - N1
09/13/2020,09/14/2020,North River,NR,,,Concentration below Method Limit of Detection,649549,RT-qPCR - N1
09/13/2020,09/14/2020,Oakwood Beach,OB,227.00,86500.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),243910,RT-qPCR - N1
09/13/2020,09/14/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,923524,RT-qPCR - N1
09/13/2020,09/14/2020,Port Richmond,PR,,,Concentration below Method Limit of Detection,224516,RT-qPCR - N1
09/13/2020,09/14/2020,Red Hook,RH,450.00,175000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),257556,RT-qPCR - N1
09/13/2020,09/14/2020,Rockaway,RK,226.00,156000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
09/13/2020,09/14/2020,Tallman Island,TI,,,Possible analytical issue,457817,RT-qPCR - N1
09/13/2020,09/14/2020,Wards Island,WI,394.00,230000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1173448,RT-qPCR - N1
09/15/2020,09/16/2020,26th Ward,26W,524.00,307000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
09/15/2020,09/16/2020,Bowery Bay,BB,972.00,342000.00,,894311,RT-qPCR - N1
09/15/2020,09/16/2020,Coney Island,CI,1370.00,601000.00,,647635,RT-qPCR - N1
09/15/2020,09/16/2020,Hunts Point,HP,1050.00,610000.00,,781885,RT-qPCR - N1
09/15/2020,09/16/2020,Jamaica Bay,JA,497.00,186000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),735054,RT-qPCR - N1
09/15/2020,09/16/2020,Newtown Creek,NC,739.00,418000.00,,1227810,RT-qPCR - N1
09/15/2020,09/16/2020,North River,NR,248.00,132000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,649549,RT-qPCR - N1
09/15/2020,09/16/2020,Oakwood Beach,OB,286.00,106000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),243910,RT-qPCR - N1
09/15/2020,09/16/2020,Owls Head,OH,2693.00,978000.00,,923524,RT-qPCR - N1
09/15/2020,09/16/2020,Port Richmond,PR,247.00,95800.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),224516,RT-qPCR - N1
09/15/2020,09/16/2020,Red Hook,RH,275.00,107000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),257556,RT-qPCR - N1
09/15/2020,09/16/2020,Rockaway,RK,,,Analytical issue,117991,RT-qPCR - N1
09/15/2020,09/16/2020,Tallman Island,TI,264.00,111000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
09/15/2020,09/16/2020,Wards Island,WI,316.00,183000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1173448,RT-qPCR - N1
09/20/2020,09/21/2020,26th Ward,26W,432.00,264000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
09/20/2020,09/21/2020,Bowery Bay,BB,1425.00,537000.00,,894311,RT-qPCR - N1
09/20/2020,09/21/2020,Coney Island,CI,18543.00,8330000.00,,647635,RT-qPCR - N1
09/20/2020,09/21/2020,Hunts Point,HP,568.00,338000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),781885,RT-qPCR - N1
09/20/2020,09/21/2020,Jamaica Bay,JA,801.00,304000.00,,735054,RT-qPCR - N1
09/20/2020,09/21/2020,Newtown Creek,NC,834.00,442000.00,,1227810,RT-qPCR - N1
09/20/2020,09/21/2020,North River,NR,991.00,495000.00,,649549,RT-qPCR - N1
09/20/2020,09/21/2020,Oakwood Beach,OB,644.00,224000.00,,243910,RT-qPCR - N1
09/20/2020,09/21/2020,Owls Head,OH,2762.00,1000000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,923524,RT-qPCR - N1
09/20/2020,09/21/2020,Port Richmond,PR,850.00,312000.00,,224516,RT-qPCR - N1
09/20/2020,09/21/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,257556,RT-qPCR - N1
09/20/2020,09/21/2020,Rockaway,RK,628.00,414000.00,,117991,RT-qPCR - N1
09/20/2020,09/21/2020,Tallman Island,TI,,,Possible analytical issue,457817,RT-qPCR - N1
09/20/2020,09/21/2020,Wards Island,WI,1250.00,681000.00,,1173448,RT-qPCR - N1
09/22/2020,09/23/2020,26th Ward,26W,835.00,479000.00,,318262,RT-qPCR - N1
09/22/2020,09/23/2020,Bowery Bay,BB,289.00,107000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),894311,RT-qPCR - N1
09/22/2020,09/23/2020,Coney Island,CI,271.00,125000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),647635,RT-qPCR - N1
09/22/2020,09/23/2020,Hunts Point,HP,293.00,169000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),781885,RT-qPCR - N1
09/22/2020,09/23/2020,Jamaica Bay,JA,4625.00,1660000.00,,735054,RT-qPCR - N1
09/22/2020,09/23/2020,Newtown Creek,NC,413.00,253000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1227810,RT-qPCR - N1
09/22/2020,09/23/2020,North River,NR,,,Concentration below Method Limit of Detection,649549,RT-qPCR - N1
09/22/2020,09/23/2020,Oakwood Beach,OB,1525.00,533000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,243910,RT-qPCR - N1
09/22/2020,09/23/2020,Owls Head,OH,1011.00,363000.00,,923524,RT-qPCR - N1
09/22/2020,09/23/2020,Port Richmond,PR,,,"Concentration below Method Limit of DetectionNo signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well",224516,RT-qPCR - N1
09/22/2020,09/23/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,257556,RT-qPCR - N1
09/22/2020,09/23/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,117991,RT-qPCR - N1
09/22/2020,09/23/2020,Tallman Island,TI,259.00,105000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
09/22/2020,09/23/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,1173448,RT-qPCR - N1
09/27/2020,09/30/2020,26th Ward,26W,1960.00,1230000.00,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",318262,RT-qPCR - N1
09/27/2020,09/28/2020,Bowery Bay,BB,1416.00,516000.00,,894311,RT-qPCR - N1
09/27/2020,09/28/2020,Coney Island,CI,1714.00,875000.00,,647635,RT-qPCR - N1
09/27/2020,09/28/2020,Hunts Point,HP,781.00,473000.00,,781885,RT-qPCR - N1
09/27/2020,09/28/2020,Jamaica Bay,JA,753.00,289000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,735054,RT-qPCR - N1
09/27/2020,09/28/2020,Newtown Creek,NC,1007.00,567000.00,,1227810,RT-qPCR - N1
09/27/2020,09/30/2020,North River,NR,1066.00,508000.00,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",649549,RT-qPCR - N1
09/27/2020,09/28/2020,Oakwood Beach,OB,646.00,227000.00,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",243910,RT-qPCR - N1
09/27/2020,09/30/2020,Owls Head,OH,5174.00,1920000.00,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",923524,RT-qPCR - N1
09/27/2020,09/28/2020,Port Richmond,PR,1715.00,657000.00,,224516,RT-qPCR - N1
09/27/2020,09/28/2020,Red Hook,RH,214.00,83300.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),257556,RT-qPCR - N1
09/27/2020,09/28/2020,Rockaway,RK,,,Analytical issue,117991,RT-qPCR - N1
09/27/2020,09/30/2020,Tallman Island,TI,416.00,182000.00,"Concentration below Method Limit of Quantification (above Method Limit of Detection) - Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",457817,RT-qPCR - N1
09/27/2020,09/28/2020,Wards Island,WI,,,Analytical issue,1173448,RT-qPCR - N1
09/29/2020,09/30/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),318262,RT-qPCR - N1
09/29/2020,09/30/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),894311,RT-qPCR - N1
09/29/2020,09/30/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),647635,RT-qPCR - N1
09/29/2020,09/30/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),781885,RT-qPCR - N1
09/29/2020,09/30/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),735054,RT-qPCR - N1
09/29/2020,09/30/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),1227810,RT-qPCR - N1
09/29/2020,09/30/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),649549,RT-qPCR - N1
09/29/2020,09/30/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),243910,RT-qPCR - N1
09/29/2020,09/30/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),923524,RT-qPCR - N1
09/29/2020,09/30/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),224516,RT-qPCR - N1
09/29/2020,09/30/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),257556,RT-qPCR - N1
09/29/2020,09/30/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),117991,RT-qPCR - N1
09/29/2020,09/30/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),457817,RT-qPCR - N1
09/29/2020,09/30/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),1173448,RT-qPCR - N1
10/04/2020,10/05/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),318262,RT-qPCR - N1
10/04/2020,10/05/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),894311,RT-qPCR - N1
10/04/2020,10/05/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),647635,RT-qPCR - N1
10/04/2020,10/05/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),781885,RT-qPCR - N1
10/04/2020,10/05/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),735054,RT-qPCR - N1
10/04/2020,10/05/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),1227810,RT-qPCR - N1
10/04/2020,10/05/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),649549,RT-qPCR - N1
10/04/2020,10/05/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),243910,RT-qPCR - N1
10/04/2020,10/05/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),923524,RT-qPCR - N1
10/04/2020,10/05/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),224516,RT-qPCR - N1
10/04/2020,10/05/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),257556,RT-qPCR - N1
10/04/2020,10/05/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),117991,RT-qPCR - N1
10/04/2020,10/05/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),457817,RT-qPCR - N1
10/04/2020,10/05/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),1173448,RT-qPCR - N1
10/06/2020,10/07/2020,26th Ward,26W,1169.00,700000.00,,318262,RT-qPCR - N1
10/06/2020,10/07/2020,Bowery Bay,BB,2800.00,963000.00,,894311,RT-qPCR - N1
10/06/2020,10/07/2020,Coney Island,CI,7238.00,3250000.00,,647635,RT-qPCR - N1
10/06/2020,10/07/2020,Hunts Point,HP,1051.00,605000.00,,781885,RT-qPCR - N1
10/06/2020,10/07/2020,Jamaica Bay,JA,1317.00,481000.00,,735054,RT-qPCR - N1
10/06/2020,10/07/2020,Newtown Creek,NC,1448.00,796000.00,,1227810,RT-qPCR - N1
10/06/2020,10/07/2020,North River,NR,823.00,412000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,649549,RT-qPCR - N1
10/06/2020,10/07/2020,Oakwood Beach,OB,3108.00,1050000.00,,243910,RT-qPCR - N1
10/06/2020,10/07/2020,Owls Head,OH,5824.00,2140000.00,,923524,RT-qPCR - N1
10/06/2020,10/07/2020,Port Richmond,PR,1403.00,524000.00,,224516,RT-qPCR - N1
10/06/2020,10/07/2020,Red Hook,RH,878.00,326000.00,,257556,RT-qPCR - N1
10/06/2020,10/07/2020,Rockaway,RK,1055.00,696000.00,,117991,RT-qPCR - N1
10/06/2020,10/07/2020,Tallman Island,TI,586.00,247000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
10/06/2020,10/07/2020,Wards Island,WI,1152.00,614000.00,,1173448,RT-qPCR - N1
10/11/2020,10/12/2020,26th Ward,26W,569.00,371000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
10/11/2020,10/12/2020,Bowery Bay,BB,3340.00,1180000.00,,894311,RT-qPCR - N1
10/11/2020,10/12/2020,Coney Island,CI,1661.00,719000.00,,647635,RT-qPCR - N1
10/11/2020,10/12/2020,Hunts Point,HP,846.00,496000.00,,781885,RT-qPCR - N1
10/11/2020,10/12/2020,Jamaica Bay,JA,1570.00,583000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,735054,RT-qPCR - N1
10/11/2020,10/12/2020,Newtown Creek,NC,682.00,386000.00,,1227810,RT-qPCR - N1
10/11/2020,10/12/2020,North River,NR,333.00,171000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),649549,RT-qPCR - N1
10/11/2020,10/12/2020,Oakwood Beach,OB,2106.00,730000.00,,243910,RT-qPCR - N1
10/11/2020,10/12/2020,Owls Head,OH,6038.00,2550000.00,,923524,RT-qPCR - N1
10/11/2020,10/12/2020,Port Richmond,PR,1489.00,573000.00,,224516,RT-qPCR - N1
10/11/2020,10/12/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,257556,RT-qPCR - N1
10/11/2020,10/12/2020,Rockaway,RK,1078.00,609000.00,,117991,RT-qPCR - N1
10/11/2020,10/12/2020,Tallman Island,TI,626.00,279000.00,,457817,RT-qPCR - N1
10/11/2020,10/12/2020,Wards Island,WI,600.00,321000.00,,1173448,RT-qPCR - N1
10/13/2020,10/14/2020,26th Ward,26W,1351.00,862000.00,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",318262,RT-qPCR - N1
10/13/2020,10/14/2020,Bowery Bay,BB,2338.00,1240000.00,,894311,RT-qPCR - N1
10/13/2020,10/14/2020,Coney Island,CI,13884.00,7010000.00,,647635,RT-qPCR - N1
10/13/2020,10/14/2020,Hunts Point,HP,1822.00,1410000.00,,781885,RT-qPCR - N1
10/13/2020,10/14/2020,Jamaica Bay,JA,2170.00,867000.00,,735054,RT-qPCR - N1
10/13/2020,10/14/2020,Newtown Creek,NC,2102.00,1420000.00,,1227810,RT-qPCR - N1
10/13/2020,10/14/2020,North River,NR,1011.00,610000.00,,649549,RT-qPCR - N1
10/13/2020,10/14/2020,Oakwood Beach,OB,1713.00,794000.00,,243910,RT-qPCR - N1
10/13/2020,10/14/2020,Owls Head,OH,4672.00,1890000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,923524,RT-qPCR - N1
10/13/2020,10/14/2020,Port Richmond,PR,2006.00,1050000.00,,224516,RT-qPCR - N1
10/13/2020,10/14/2020,Red Hook,RH,1295.00,635000.00,,257556,RT-qPCR - N1
10/13/2020,10/14/2020,Rockaway,RK,1044.00,689000.00,,117991,RT-qPCR - N1
10/13/2020,10/14/2020,Tallman Island,TI,540.00,309000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
10/13/2020,10/14/2020,Wards Island,WI,2066.00,1330000.00,,1173448,RT-qPCR - N1
10/18/2020,10/19/2020,26th Ward,26W,589.00,361000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,318262,RT-qPCR - N1
10/18/2020,10/19/2020,Bowery Bay,BB,3925.00,1540000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,894311,RT-qPCR - N1
10/18/2020,10/19/2020,Coney Island,CI,2615.00,1200000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,647635,RT-qPCR - N1
10/18/2020,10/19/2020,Hunts Point,HP,2565.00,1500000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,781885,RT-qPCR - N1
10/18/2020,10/19/2020,Jamaica Bay,JA,1313.00,519000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,735054,RT-qPCR - N1
10/18/2020,10/19/2020,Newtown Creek,NC,6101.00,3350000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1227810,RT-qPCR - N1
10/18/2020,10/19/2020,North River,NR,1479.00,765000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,649549,RT-qPCR - N1
10/18/2020,10/19/2020,Oakwood Beach,OB,1793.00,748000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,243910,RT-qPCR - N1
10/18/2020,10/19/2020,Owls Head,OH,7750.00,2820000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,923524,RT-qPCR - N1
10/18/2020,10/19/2020,Port Richmond,PR,1229.00,514000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,224516,RT-qPCR - N1
10/18/2020,10/19/2020,Red Hook,RH,1850.00,657000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,257556,RT-qPCR - N1
10/18/2020,10/19/2020,Rockaway,RK,262.00,181000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,117991,RT-qPCR - N1
10/18/2020,10/19/2020,Tallman Island,TI,608.00,327000.00,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,457817,RT-qPCR - N1
10/18/2020,10/19/2020,Wards Island,WI,444.00,244000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1173448,RT-qPCR - N1
10/20/2020,10/21/2020,26th Ward,26W,1754.00,1670000.00,,318262,RT-qPCR - N1
10/20/2020,10/21/2020,Bowery Bay,BB,4378.00,1580000.00,,894311,RT-qPCR - N1
10/20/2020,10/21/2020,Coney Island,CI,2453.00,1090000.00,,647635,RT-qPCR - N1
10/20/2020,10/21/2020,Hunts Point,HP,2303.00,1280000.00,,781885,RT-qPCR - N1
10/20/2020,10/21/2020,Jamaica Bay,JA,3808.00,1420000.00,,735054,RT-qPCR - N1
10/20/2020,10/21/2020,Newtown Creek,NC,5293.00,2980000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,1227810,RT-qPCR - N1
10/20/2020,10/21/2020,North River,NR,1789.00,946000.00,,649549,RT-qPCR - N1
10/20/2020,10/21/2020,Oakwood Beach,OB,4795.00,1830000.00,,243910,RT-qPCR - N1
10/20/2020,10/21/2020,Owls Head,OH,18230.00,6390000.00,,923524,RT-qPCR - N1
10/20/2020,10/21/2020,Port Richmond,PR,3789.00,1520000.00,,224516,RT-qPCR - N1
